Edad / Año,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
97,32 ,35 ,38 ,41 ,45 ,52 ,58 ,65 ,72 ,81 ,91 ,102 ,115 ,128 ,143 ,160 ,177 ,196 ,217 ,240 ,273 ,306 ,341 ,383 ,426 ,470 ,516 ,563 ,611 ,661 ,704 ,751 ,797 ,840 ,881 ,918 ,957 ,997 ,"1,040 ","1,087 ","1,151 ","1,233 ","1,319 ","1,419 ","1,521 ","1,627 ","1,724 ","1,827 ","1,927 ","2,027 ","2,132 ","2,251 ","2,372 ","2,482 ","2,586 ","2,693 ","2,782 ","2,874 ","2,952 ","3,025 ","3,148 ","3,344 ","3,584 ","3,849 ","4,132 ","4,446 ","4,788 ","5,247 ","5,783 ","6,301 ","5,960 ","5,393 ","4,893 ","4,475 ","4,127 ","3,847 ","3,608 ","3,530 ","3,430 ","3,234 ","3,067 ","2,931 ","2,823 ","2,759 ","2,707 ","2,689 ","2,678 ","2,725 ","2,769 ","2,803 ","2,852 ","2,917 ","3,005 ","3,071 ","3,159 ","3,237 ","3,307 ","3,400 ","3,508 ","3,660 ","3,871 ","4,092 ","4,349 ","4,591 ","4,855 ","5,152 ","5,464 ","5,831 ","6,176 ","6,490 ","6,863 ","7,213 ","7,562 ","7,873 ","8,198 ","8,551 ","8,891 ","9,207 ","9,527 ","9,861 ","10,168 "
98,19 ,21 ,23 ,25 ,28 ,31 ,35 ,40 ,44 ,49 ,56 ,63 ,71 ,79 ,89 ,100 ,111 ,124 ,138 ,153 ,176 ,197 ,224 ,248 ,280 ,311 ,343 ,377 ,411 ,444 ,476 ,511 ,542 ,576 ,606 ,632 ,662 ,686 ,716 ,751 ,792 ,844 ,901 ,965 ,"1,035 ","1,106 ","1,179 ","1,254 ","1,333 ","1,414 ","1,497 ","1,589 ","1,680 ","1,763 ","1,843 ","1,916 ","1,988 ","2,057 ","2,119 ","2,176 ","2,268 ","2,415 ","2,595 ","2,787 ","2,989 ","3,214 ","3,464 ","3,810 ","4,226 ","4,626 ","4,348 ","3,925 ","3,547 ","3,231 ","2,951 ","2,736 ","2,554 ","2,399 ","2,351 ","2,285 ","2,157 ","2,049 ","1,962 ","1,889 ","1,849 ","1,815 ","1,806 ","1,798 ","1,830 ","1,860 ","1,886 ","1,916 ","1,971 ","2,030 ","2,075 ","2,134 ","2,191 ","2,239 ","2,307 ","2,380 ","2,483 ","2,627 ","2,783 ","2,965 ","3,130 ","3,318 ","3,521 ","3,744 ","3,996 ","4,233 ","4,460 ","4,716 ","4,972 ","5,213 ","5,428 ","5,670 ","5,914 ","6,149 ","6,368 ","6,619 ","6,851 "
99,11 ,12 ,14 ,15 ,16 ,18 ,20 ,23 ,27 ,30 ,33 ,38 ,43 ,48 ,54 ,61 ,68 ,76 ,85 ,95 ,107 ,125 ,141 ,159 ,178 ,202 ,223 ,244 ,268 ,294 ,316 ,336 ,359 ,384 ,406 ,422 ,445 ,465 ,485 ,503 ,533 ,568 ,601 ,644 ,688 ,736 ,785 ,837 ,892 ,958 ,"1,019 ","1,092 ","1,160 ","1,222 ","1,279 ","1,332 ","1,382 ","1,436 ","1,483 ","1,525 ","1,596 ","1,706 ","1,838 ","1,977 ","2,120 ","2,281 ","2,459 ","2,717 ","3,016 ","3,321 ","3,103 ","2,792 ","2,518 ","2,283 ","2,077 ","1,907 ","1,771 ","1,655 ","1,557 ","1,525 ","1,485 ","1,404 ","1,336 ","1,279 ","1,234 ","1,207 ","1,187 ","1,181 ","1,176 ","1,197 ","1,219 ","1,234 ","1,260 ","1,296 ","1,335 ","1,365 ","1,406 ","1,444 ","1,479 ","1,523 ","1,572 ","1,640 ","1,739 ","1,846 ","1,967 ","2,081 ","2,206 ","2,347 ","2,496 ","2,664 ","2,829 ","2,981 ","3,162 ","3,333 ","3,495 ","3,650 ","3,813 ","3,977 ","4,135 ","4,301 ","4,471 "
100,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,15 ,17 ,19 ,22 ,25 ,28 ,31 ,36 ,40 ,45 ,51 ,57 ,66 ,75 ,87 ,98 ,111 ,124 ,139 ,155 ,170 ,186 ,202 ,216 ,233 ,246 ,264 ,277 ,291 ,303 ,318 ,333 ,353 ,372 ,395 ,419 ,450 ,475 ,505 ,541 ,582 ,626 ,672 ,725 ,778 ,826 ,864 ,901 ,936 ,975 ,"1,007 ","1,042 ","1,093 ","1,175 ","1,271 ","1,374 ","1,479 ","1,588 ","1,712 ","1,894 ","2,112 ","2,333 ","2,164 ","1,942 ","1,746 ","1,579 ","1,430 ","1,307 ","1,202 ","1,117 ","1,046 ",984 ,965 ,941 ,891 ,847 ,812 ,784 ,768 ,755 ,752 ,749 ,763 ,776 ,789 ,806 ,829 ,854 ,875 ,901 ,927 ,949 ,978 ,"1,009 ","1,055 ","1,121 ","1,190 ","1,271 ","1,345 ","1,429 ","1,521 ","1,617 ","1,730 ","1,838 ","1,942 ","2,060 ","2,171 ","2,283 ","2,384 ","2,491 ","2,598 ","2,713 ","2,822 "
101,4 ,4 ,4 ,5 ,6 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,14 ,16 ,18 ,20 ,23 ,26 ,29 ,33 ,39 ,46 ,50 ,59 ,65 ,76 ,83 ,96 ,104 ,115 ,124 ,134 ,146 ,156 ,164 ,176 ,183 ,193 ,202 ,214 ,224 ,240 ,255 ,268 ,283 ,299 ,320 ,339 ,367 ,397 ,430 ,467 ,507 ,541 ,568 ,592 ,617 ,643 ,665 ,690 ,728 ,787 ,858 ,930 ,"1,003 ","1,082 ","1,169 ","1,294 ","1,449 ","1,606 ","1,475 ","1,319 ","1,182 ","1,066 ",963 ,876 ,802 ,738 ,687 ,643 ,605 ,595 ,580 ,550 ,524 ,502 ,485 ,476 ,468 ,465 ,464 ,472 ,482 ,491 ,501 ,516 ,532 ,545 ,562 ,579 ,592 ,610 ,631 ,661 ,702 ,747 ,798 ,846 ,899 ,957 ,"1,020 ","1,091 ","1,162 ","1,228 ","1,302 ","1,377 ","1,448 ","1,512 ","1,579 ","1,654 ","1,728 "
102,2 ,2 ,2 ,2 ,3 ,4 ,4 ,4 ,5 ,6 ,6 ,7 ,8 ,9 ,10 ,11 ,13 ,14 ,16 ,19 ,21 ,27 ,30 ,34 ,37 ,44 ,50 ,55 ,62 ,68 ,72 ,83 ,85 ,95 ,100 ,107 ,114 ,118 ,124 ,132 ,139 ,148 ,159 ,166 ,177 ,183 ,195 ,209 ,224 ,244 ,264 ,290 ,317 ,341 ,362 ,379 ,396 ,413 ,428 ,444 ,469 ,513 ,560 ,613 ,666 ,719 ,777 ,863 ,969 ,"1,075 ",984 ,875 ,782 ,703 ,633 ,574 ,523 ,479 ,441 ,411 ,385 ,363 ,357 ,348 ,330 ,315 ,302 ,292 ,286 ,281 ,280 ,279 ,285 ,291 ,296 ,303 ,312 ,322 ,330 ,341 ,351 ,359 ,371 ,384 ,402 ,428 ,455 ,487 ,517 ,549 ,585 ,624 ,669 ,713 ,753 ,801 ,847 ,890 ,930 ,975 ,"1,022 "
103,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,3 ,4 ,4 ,4 ,5 ,5 ,6 ,7 ,8 ,9 ,10 ,13 ,15 ,16 ,19 ,22 ,26 ,28 ,33 ,35 ,39 ,44 ,49 ,51 ,54 ,60 ,62 ,67 ,72 ,75 ,77 ,84 ,90 ,95 ,99 ,105 ,111 ,116 ,125 ,134 ,144 ,156 ,176 ,191 ,208 ,222 ,234 ,247 ,256 ,268 ,277 ,294 ,324 ,357 ,393 ,425 ,466 ,505 ,566 ,635 ,708 ,639 ,569 ,505 ,452 ,406 ,367 ,333 ,304 ,278 ,256 ,239 ,224 ,212 ,208 ,203 ,193 ,184 ,176 ,171 ,167 ,165 ,164 ,164 ,167 ,171 ,174 ,178 ,183 ,189 ,194 ,201 ,206 ,212 ,219 ,227 ,238 ,253 ,270 ,289 ,306 ,326 ,347 ,371 ,398 ,424 ,449 ,478 ,505 ,531 ,557 ,584 
104,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,4 ,5 ,5 ,7 ,9 ,10 ,10 ,14 ,14 ,15 ,17 ,20 ,21 ,24 ,29 ,29 ,31 ,33 ,36 ,38 ,40 ,45 ,45 ,48 ,52 ,57 ,60 ,61 ,65 ,67 ,74 ,76 ,81 ,90 ,100 ,112 ,122 ,131 ,138 ,147 ,155 ,159 ,168 ,179 ,195 ,219 ,243 ,267 ,291 ,321 ,361 ,404 ,449 ,408 ,359 ,319 ,284 ,254 ,229 ,207 ,188 ,172 ,157 ,145 ,135 ,127 ,120 ,118 ,115 ,109 ,104 ,100 ,97 ,95 ,93 ,93 ,93 ,95 ,97 ,99 ,101 ,105 ,108 ,111 ,115 ,118 ,121 ,125 ,130 ,136 ,145 ,155 ,166 ,176 ,188 ,200 ,214 ,230 ,245 ,260 ,276 ,292 ,308 ,323 
105,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,3 ,4 ,4 ,4 ,5 ,6 ,7 ,9 ,12 ,10 ,11 ,13 ,14 ,15 ,17 ,18 ,21 ,21 ,23 ,23 ,28 ,27 ,29 ,32 ,35 ,35 ,38 ,39 ,40 ,43 ,47 ,50 ,57 ,64 ,69 ,76 ,79 ,84 ,91 ,92 ,100 ,108 ,114 ,130 ,147 ,161 ,176 ,196 ,220 ,252 ,282 ,250 ,223 ,196 ,175 ,155 ,139 ,126 ,114 ,103 ,94 ,86 ,80 ,74 ,70 ,66 ,65 ,64 ,60 ,58 ,55 ,53 ,52 ,52 ,52 ,52 ,53 ,54 ,55 ,56 ,58 ,60 ,61 ,64 ,66 ,67 ,70 ,72 ,76 ,81 ,86 ,93 ,98 ,105 ,112 ,120 ,129 ,137 ,145 ,155 ,164 ,173 
106,0 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,3 ,2 ,2 ,3 ,3 ,4 ,5 ,5 ,6 ,6 ,7 ,8 ,11 ,12 ,11 ,12 ,12 ,12 ,13 ,15 ,16 ,19 ,19 ,20 ,19 ,22 ,21 ,25 ,25 ,26 ,32 ,33 ,39 ,41 ,44 ,47 ,50 ,53 ,53 ,59 ,68 ,72 ,87 ,93 ,106 ,116 ,135 ,151 ,176 ,152 ,133 ,119 ,104 ,93 ,83 ,74 ,67 ,61 ,55 ,50 ,46 ,43 ,40 ,37 ,35 ,35 ,34 ,32 ,31 ,30 ,29 ,28 ,28 ,28 ,28 ,28 ,29 ,30 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,38 ,39 ,41 ,44 ,47 ,50 ,53 ,57 ,61 ,65 ,70 ,74 ,79 ,84 ,89 
107,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,4 ,4 ,4 ,5 ,6 ,6 ,7 ,8 ,9 ,8 ,9 ,10 ,10 ,11 ,11 ,11 ,13 ,15 ,14 ,15 ,17 ,19 ,21 ,25 ,23 ,26 ,29 ,31 ,33 ,37 ,47 ,46 ,51 ,62 ,69 ,73 ,87 ,103 ,92 ,79 ,69 ,61 ,54 ,48 ,43 ,39 ,35 ,32 ,29 ,26 ,24 ,22 ,21 ,19 ,18 ,18 ,18 ,17 ,16 ,15 ,15 ,15 ,14 ,14 ,14 ,15 ,15 ,15 ,16 ,16 ,17 ,17 ,18 ,19 ,19 ,20 ,20 ,22 ,23 ,25 ,26 ,28 ,30 ,32 ,34 ,37 ,39 ,42 ,44 
108,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,4 ,5 ,4 ,5 ,5 ,6 ,6 ,5 ,7 ,8 ,7 ,8 ,10 ,9 ,11 ,11 ,13 ,14 ,14 ,15 ,17 ,21 ,25 ,25 ,31 ,35 ,35 ,42 ,52 ,56 ,52 ,47 ,40 ,35 ,31 ,27 ,24 ,22 ,20 ,18 ,16 ,14 ,13 ,12 ,11 ,10 ,10 ,9 ,9 ,9 ,9 ,8 ,8 ,8 ,7 ,7 ,7 ,7 ,8 ,8 ,8 ,8 ,8 ,9 ,9 ,9 ,9 ,10 ,10 ,10 ,11 ,12 ,12 ,13 ,14 ,15 ,16 ,17 ,19 ,20 ,21 
109,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,4 ,3 ,3 ,4 ,4 ,4 ,5 ,5 ,6 ,6 ,8 ,8 ,15 ,18 ,12 ,13 ,16 ,18 ,18 ,22 ,27 ,30 ,19 ,26 ,23 ,20 ,17 ,15 ,13 ,12 ,11 ,10 ,9 ,8 ,7 ,7 ,6 ,6 ,5 ,5 ,5 ,5 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,6 ,6 ,7 ,7 ,8 ,8 ,9 ,9 ,10 
