"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Coconino County, AZ"	"04005"	"45-49 years"	"45-49"	"2020 "	"2020"	"Female"	"F"	0	3402	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2000"	"2000"	"Female"	"F"	0	3376	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2000"	"2000"	"Male"	"M"	0	3516	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2001"	"2001"	"Female"	"F"	0	3658	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2002"	"2002"	"Female"	"F"	0	3798	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2003"	"2003"	"Female"	"F"	0	3978	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2007"	"2007"	"Male"	"M"	0	4448	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2008"	"2008"	"Male"	"M"	0	4475	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2010"	"2010"	"Female"	"F"	0	4833	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2011"	"2011"	"Male"	"M"	0	4284	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2013"	"2013"	"Female"	"F"	0	4456	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2013"	"2013"	"Male"	"M"	0	4119	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2014"	"2014"	"Female"	"F"	0	4328	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2014"	"2014"	"Male"	"M"	0	4037	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2015"	"2015"	"Female"	"F"	0	4152	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2016"	"2016"	"Female"	"F"	0	3984	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2018"	"2018"	"Female"	"F"	0	3651	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"50-54 years"	"50-54"	"2020 "	"2020"	"Female"	"F"	0	3531	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2000"	"2000"	"Female"	"F"	0	2442	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2001"	"2001"	"Male"	"M"	0	2526	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2002"	"2002"	"Female"	"F"	0	2839	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2003"	"2003"	"Female"	"F"	0	3065	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2004"	"2004"	"Male"	"M"	0	3237	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2006"	"2006"	"Female"	"F"	0	3753	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2007"	"2007"	"Female"	"F"	0	3922	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2009"	"2009"	"Male"	"M"	0	4177	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2012"	"2012"	"Female"	"F"	0	4545	Unreliable	0.0000%
